zcta,Total,Householder who is White alone,Householder who is Black or African American alone,Householder who is American Indian and Alaska Native alone,Householder who is Asian alone,Householder who is Native Hawaiian and Other Pacific Islander alone,Householder who is Some Other Race alone,Householder who is Two or More Races
14769,375,366,3,1,0,0,0,5
10470,6390,3643,1980,34,182,1,390,160
14008,523,507,5,4,0,0,6,1
10550,13793,2166,10043,81,185,8,788,522
12961,71,70,0,0,0,0,0,1
11735,11038,9918,306,14,430,1,258,111
12116,798,781,5,1,1,1,2,7
12823,99,98,0,0,0,0,0,1
12870,681,664,2,5,3,0,2,5
13131,1453,1424,6,9,3,0,1,10
10512,9366,8720,175,15,131,1,207,117
12009,2854,2738,34,10,32,0,18,22
10456,28122,4189,14358,401,239,80,7156,1699
12543,1108,878,116,5,21,0,53,35
11939,409,398,2,0,2,0,2,5
13753,1837,1774,21,2,14,1,8,17
14001,3942,3853,15,43,7,1,1,22
10573,12714,9404,789,67,325,2,1750,377
14869,553,543,1,2,0,0,0,7
13148,4516,4361,36,13,49,1,15,41
14450,16748,15895,298,20,376,1,52,106
6390,120,116,1,0,1,0,1,1
14770,1176,1150,8,3,2,0,2,11
12062,712,687,7,3,5,1,3,6
12538,5289,4834,254,3,86,1,52,59
14211,9367,1848,7114,34,146,0,85,140
11568,1026,821,34,1,139,0,8,23
14469,2468,2420,12,9,1,0,7,19
14129,591,474,1,107,1,0,0,8
14506,484,475,1,0,8,0,0,0
10547,2609,2222,171,5,94,1,77,39
10552,8869,4908,3053,21,239,2,396,250
11530,9111,8656,81,6,273,4,48,43
13135,2573,2514,13,15,8,0,2,21
14612,14329,13165,678,39,148,2,136,161
14750,1997,1947,11,4,20,0,4,11
10566,9056,5403,2136,34,221,4,928,330
11963,2860,2675,88,12,32,0,34,19
13501,14906,10920,2142,44,946,8,526,320
11040,13500,9493,182,17,3323,2,247,236
13859,80,76,3,1,0,0,0,0
14172,1297,1263,10,9,1,1,2,11
14815,405,398,1,1,1,0,0,4
14755,1152,1127,4,12,3,0,1,5
10519,117,105,4,0,3,0,5,0
10536,3581,3390,40,4,76,1,47,23
12115,86,84,1,0,0,0,0,1
14626,12430,11337,633,30,212,2,113,103
14738,1516,1501,1,4,1,0,3,6
11225,22501,3563,17123,85,382,9,663,676
13796,507,497,1,1,3,0,0,5
10112,0,0,0,0,0,0,0,0
13103,115,112,2,1,0,0,0,0
14543,1214,1184,14,3,8,0,1,4
10924,4454,3967,178,23,106,2,116,62
11432,18448,4674,4655,139,5658,13,2171,1138
12067,620,603,5,1,5,0,0,6
12138,1256,1232,2,2,2,0,3,15
13803,1521,1491,7,7,2,0,6,8
11954,1422,1344,19,2,9,0,36,12
12148,1741,1634,21,0,68,0,9,9
14854,12,12,0,0,0,0,0,0
12853,739,729,2,1,1,0,1,5
14527,5074,4981,22,7,14,1,20,29
10457,22873,4658,9410,310,389,24,6630,1452
12429,117,108,5,0,0,0,2,2
14739,1152,1133,6,3,2,0,1,7
13697,872,857,0,7,0,0,1,7
14904,6776,6240,355,26,17,3,12,123
10501,381,363,3,0,9,0,2,4
10548,1134,1036,25,0,26,0,26,21
11948,440,426,6,0,1,0,4,3
13120,1018,605,51,342,2,1,2,15
13616,749,620,74,2,12,2,29,10
13641,42,42,0,0,0,0,0,0
11358,13380,7771,158,13,4568,0,611,259
11553,6225,1631,3343,30,136,3,863,219
12084,1985,1477,103,1,356,1,21,26
12933,7,7,0,0,0,0,0,0
12966,1135,1111,3,3,2,0,3,13
12790,1933,1798,58,11,19,0,20,27
12997,536,527,0,1,1,0,0,7
13144,543,531,1,2,0,0,1,8
14586,3740,3051,349,4,257,1,20,58
12120,239,233,2,0,0,0,1,3
10474,3633,810,1263,59,18,5,1223,255
10588,838,762,23,0,24,0,14,15
14879,916,905,6,1,2,0,0,2
14827,79,78,1,0,0,0,0,0
10954,8444,6320,938,13,848,1,194,130
13659,219,215,0,0,1,0,0,3
10027,22839,7060,11139,159,1394,9,2124,954
11953,5293,4408,522,18,162,1,88,94
12430,502,458,7,2,3,1,23,8
12492,123,120,0,1,0,0,0,2
12928,830,816,1,0,3,0,3,7
10165,2,0,0,0,2,0,0,0
13361,276,273,1,0,0,0,0,2
14139,875,859,1,5,3,0,0,7
13665,326,307,5,6,1,0,2,5
13167,1278,1261,3,3,2,0,0,9
13905,11956,10095,900,36,501,4,155,265
14221,22676,20566,639,34,1215,5,57,160
14222,7074,5895,745,55,150,1,107,121
14424,11310,10954,136,25,65,1,31,98
10595,2330,2095,32,1,148,0,31,23
11940,1911,1837,26,4,11,0,14,19
13736,910,894,5,1,2,0,1,7
12923,255,246,0,1,2,0,2,4
13031,6489,6235,102,20,74,1,20,37
13124,54,54,0,0,0,0,0,0
14013,666,473,1,188,0,0,2,2
14081,1196,746,5,430,3,0,0,12
14711,692,674,3,1,2,0,0,12
12095,4976,4815,59,5,38,0,24,35
11732,1361,1264,23,0,55,0,5,14
14905,4024,3679,225,7,43,1,18,51
13664,166,161,3,1,1,0,0,0
13678,92,88,1,1,0,0,0,2
12149,1036,1013,7,0,4,0,3,9
10543,7436,6106,338,16,322,6,498,150
11366,4519,2333,331,6,1592,2,145,110
12498,2408,2274,44,4,28,0,17,41
12944,1713,1672,6,5,5,0,2,23
14030,701,686,3,3,3,0,2,4
11234,31213,16341,12447,74,1103,8,715,525
14732,76,74,0,0,0,0,0,2
12759,587,490,51,3,10,0,18,15
12808,148,144,0,0,1,0,0,3
13303,468,461,2,0,3,0,0,2
10996,627,508,65,4,15,1,20,14
13334,515,507,3,0,0,0,1,4
11721,2324,2279,6,1,27,0,3,8
11757,15540,14385,310,15,256,4,374,196
12939,86,83,1,0,2,0,0,0
13162,181,176,1,1,1,0,1,1
13027,13042,12610,158,44,94,3,35,98
11559,2558,2328,75,1,65,1,64,24
11797,3093,2779,25,0,257,0,7,25
12020,12295,11898,126,20,76,5,34,136
13844,285,279,0,1,0,0,2,3
10469,22554,5622,13308,121,728,9,2059,707
12741,157,149,5,0,0,0,0,3
14618,8416,7457,251,8,571,1,24,104
10021,24734,22083,394,23,1730,11,185,308
10914,142,124,8,0,2,0,7,1
12197,958,933,2,2,1,1,6,13
13485,443,436,1,4,0,0,0,2
11003,12295,4648,4988,42,1117,1,1078,421
12070,571,563,2,1,3,0,2,0
12972,2391,2334,19,1,12,1,4,20
14807,1248,1236,2,0,2,0,2,6
12434,332,328,2,0,1,0,0,1
10030,11395,1277,8465,82,183,7,945,436
11793,10791,10375,65,5,199,1,74,72
13672,279,275,1,1,0,1,0,1
14621,12861,4612,5745,95,243,2,1698,466
10115,0,0,0,0,0,0,0,0
12563,2399,2208,63,7,33,0,58,30
10460,19512,5031,7448,289,255,19,5359,1111
14433,1723,1654,41,3,1,0,6,18
12769,113,102,7,0,1,0,1,2
14606,11303,8070,2248,48,370,4,362,201
14625,4522,4348,57,7,67,1,10,32
12168,822,802,7,1,3,0,3,6
12767,52,52,0,0,0,0,0,0
12589,4774,4267,211,12,37,0,183,64
14203,818,311,452,4,22,0,14,15
13138,22,21,0,1,0,0,0,0
13101,960,936,4,4,2,0,2,12
13489,259,258,0,0,0,0,0,1
13826,23,23,0,0,0,0,0,0
14226,12485,10462,1016,28,795,1,43,140
12059,672,660,3,0,1,0,0,8
12068,1259,1235,2,4,9,0,3,6
13053,1973,1852,57,9,13,1,16,25
11747,7221,6500,205,7,396,0,45,68
12864,18,17,0,0,0,0,0,1
13425,802,790,2,1,2,0,1,6
14174,2354,2304,5,14,6,1,8,16
11109,1975,1366,96,3,387,4,46,73
13493,741,728,1,4,0,0,3,5
11730,4891,4685,46,6,59,0,59,36
14034,704,684,0,7,1,0,3,9
12518,2278,2146,49,8,24,1,25,25
12965,187,186,0,0,0,0,1,0
13861,169,163,1,1,1,0,0,3
14168,14,10,0,4,0,0,0,0
12922,32,31,0,1,0,0,0,0
11692,6195,1110,4120,38,161,2,551,213
12525,1313,1249,19,7,5,0,24,9
13352,29,27,0,1,0,0,0,1
14218,8593,7495,765,28,32,2,140,131
10570,4201,3850,47,3,190,0,73,38
13368,457,451,1,0,1,0,1,3
10598,10293,9439,239,11,392,3,116,93
13068,2146,2060,27,5,8,1,7,38
12859,815,803,5,1,0,0,0,6
13322,423,416,4,0,2,0,1,0
14729,380,376,1,1,1,0,0,1
12987,90,85,0,0,0,1,1,3
14091,407,305,1,96,0,0,1,4
14847,970,944,6,7,6,0,0,7
13841,211,209,0,1,0,0,0,1
14569,2618,2565,1,10,14,0,3,25
10169,0,0,0,0,0,0,0,0
12998,216,210,3,2,0,0,0,1
13118,2124,2096,8,6,3,0,3,8
14206,9443,8257,933,44,61,1,74,73
12789,762,607,93,5,10,2,30,15
12464,514,488,7,1,7,0,3,8
13328,516,511,1,1,1,0,0,2
10154,0,0,0,0,0,0,0,0
12839,5528,5410,32,11,18,2,12,43
14136,2020,1958,13,30,3,0,3,13
14131,2116,2062,21,14,4,0,4,11
10591,8491,6426,600,34,408,4,777,242
11770,69,68,0,0,1,0,0,0
12436,190,186,1,0,1,0,1,1
12517,208,202,3,0,0,0,1,2
12190,296,291,0,0,1,0,0,4
11557,2782,2525,38,0,137,0,60,22
12549,3551,3263,149,5,25,0,82,27
12953,4781,4669,16,34,26,0,7,29
12586,4377,3859,273,7,48,2,118,70
11210,20653,6358,12645,61,605,8,514,462
11719,1211,1144,35,2,7,0,13,10
13040,1052,1032,3,3,2,0,2,10
14591,660,641,3,2,2,0,4,8
11787,12271,11703,98,7,303,2,75,83
13813,367,361,1,1,0,0,0,4
10921,1458,1313,67,8,19,0,38,13
12077,2340,2207,39,3,70,0,5,16
12765,331,321,4,0,2,0,0,4
13633,113,111,1,0,0,0,0,1
12092,546,531,5,1,2,0,1,6
13607,848,832,5,2,3,0,2,4
13684,449,440,1,3,0,0,2,3
12136,350,343,2,0,2,0,2,1
13160,784,762,4,1,3,2,8,4
12745,72,72,0,0,0,0,0,0
13329,1584,1558,3,4,6,0,7,6
13441,15,9,5,0,1,0,0,0
14304,13419,12504,462,154,132,1,50,116
13214,3160,2581,403,7,103,0,24,42
13346,2007,1897,43,1,48,0,5,13
13492,4934,4829,42,9,24,0,8,22
13660,691,684,2,0,1,0,0,4
12809,1330,1318,2,2,1,0,0,7
12970,129,124,2,1,1,0,0,1
14228,8820,7315,618,21,692,1,54,119
