uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
5183179,Chicago,13B,simple assault,assault offenses,persons,2018-06-27T21:00:00Z,-87.6046,41.727304,street,street,1.70314E+14
5183244,Chicago,90Z,all other offenses,all other offenses,other,2018-06-27T22:00:00Z,-87.668416,41.80083,street,street,1.70316E+14
5183272,Chicago,12A,personal robbery,robbery,property,2018-06-27T22:44:00Z,-87.66585,41.749738,street,street,1.70317E+14
5183340,Chicago,13B,simple assault,assault offenses,persons,2018-06-28T00:06:00Z,-87.623292,41.841825,residence,residence,1.70318E+14
5183399,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-28T01:25:00Z,-87.715189,41.858301,residence,residence,1.70313E+14
5183420,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-28T02:00:00Z,-87.744699,41.777796,residence,residence,1.70316E+14
5183460,Chicago,13B,simple assault,assault offenses,persons,2018-06-28T03:00:00Z,-87.737037,41.897922,residence,residence,1.70318E+14
5183559,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-28T06:10:00Z,-87.682335,41.801132,street,street,1.70316E+14
5183599,Chicago,13B,simple assault,assault offenses,persons,2018-06-28T08:20:00Z,-87.680212,41.871419,green space,open space,1.70318E+14
5183670,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-06-28T13:00:00Z,-87.619352,41.703521,residence,residence,1.70315E+14
5183716,Chicago,13B,simple assault,assault offenses,persons,2018-06-28T14:30:00Z,-87.70746,41.754122,street,street,1.70317E+14
5184007,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-28T21:15:00Z,-87.590326,41.760551,street,street,1.70314E+14
5184090,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-28T23:20:00Z,-87.660624,41.735371,bus,transportation,1.70317E+14
5184113,Chicago,90Z,all other offenses,all other offenses,other,2018-06-29T00:00:00Z,-87.623095,41.692183,street,street,1.70315E+14
5184115,Chicago,90J,trespass of real property,trespass of real property,society,2018-06-29T00:00:00Z,-87.761498,41.898533,residence,residence,1.70313E+14
5184117,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-29T00:00:00Z,-87.727183,41.805277,residence,residence,1.70316E+14
5184258,Chicago,26B,teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-06-29T03:00:00Z,-87.642028,41.722601,finance,commercial,1.70317E+14
5184395,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-29T09:49:00Z,-87.639788,41.729567,street,street,1.70317E+14
5184400,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-29T10:00:00Z,-87.632941,41.677913,residence,residence,1.70315E+14
5185314,Chicago,12A,personal robbery,robbery,property,2018-06-30T13:15:00Z,-87.608866,41.773087,street,street,1.70314E+14
5185329,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-06-30T13:45:00Z,-87.687784,41.895732,other retail,retail,1.70312E+14
5185429,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-06-30T16:05:00Z,-87.662707,41.722578,supermarket,retail,1.70317E+14
5185507,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-30T18:30:00Z,-87.624356,41.880457,restaurant,leisure,1.70313E+14
5185642,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-30T21:55:00Z,-87.613919,41.81265,street,street,1.70318E+14
5185966,Chicago,90Z,all other offenses,all other offenses,other,2018-07-01T04:12:00Z,-87.618075,41.685941,street,street,1.70315E+14
5185997,Chicago,13B,simple assault,assault offenses,persons,2018-07-01T04:50:00Z,-87.711249,41.763347,residence,residence,1.70317E+14
5186001,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-01T05:00:00Z,-87.639849,41.886175,office,commercial,1.70313E+14
5186248,Chicago,13A,aggravated assault,assault offenses,persons,2018-07-01T13:57:00Z,-87.587434,41.776965,residence,residence,1.70318E+14
5186316,Chicago,520,weapon law violations,weapon law violations,society,2018-07-01T15:30:00Z,-87.740514,41.78834,airport,transportation,1.7032E+14
5186399,Chicago,290,destruction of property,destruction of property,property,2018-07-01T17:25:00Z,-87.775746,41.976223,residence,residence,1.70311E+14
